run_id,num_missiles,engagement_range,axis,hits,destroyed,timeouts,ship_killed,hits_taken
10,3,3500.0,frontal,0,3,0,0,0
1,4,3500.0,frontal,0,4,0,0,0
2,4,3500.0,frontal,0,4,0,0,0
3,4,3500.0,frontal,0,4,0,0,0
4,4,3500.0,frontal,0,4,0,0,0
5,4,3500.0,frontal,0,4,0,0,0
6,4,3500.0,frontal,0,4,0,0,0
7,4,3500.0,frontal,0,4,0,0,0
8,4,3500.0,frontal,0,4,0,0,0
9,4,3500.0,frontal,1,3,0,0,1
10,4,3500.0,frontal,0,4,0,0,0
1,5,3500.0,frontal,0,5,0,0,0
2,5,3500.0,frontal,0,5,0,0,0
3,5,3500.0,frontal,0,5,0,0,0
4,5,3500.0,frontal,0,5,0,0,0
5,5,3500.0,frontal,0,5,0,0,0
6,5,3500.0,frontal,0,5,0,0,0
7,5,3500.0,frontal,0,5,0,0,0
8,5,3500.0,frontal,0,5,0,0,0
9,5,3500.0,frontal,0,5,0,0,0
10,5,3500.0,frontal,0,5,0,0,0
1,6,3500.0,frontal,1,5,0,0,1
2,6,3500.0,frontal,1,5,0,0,1
3,6,3500.0,frontal,1,5,0,0,1
4,6,3500.0,frontal,1,5,0,0,1
5,6,3500.0,frontal,1,5,0,0,1
6,6,3500.0,frontal,1,5,0,0,1
7,6,3500.0,frontal,1,5,0,0,1
8,6,3500.0,frontal,2,4,0,0,2
9,6,3500.0,frontal,1,5,0,0,1
10,6,3500.0,frontal,1,5,0,0,1
1,8,3500.0,frontal,3,5,0,0,3
2,8,3500.0,frontal,3,5,0,0,3
3,8,3500.0,frontal,3,5,0,0,3
4,8,3500.0,frontal,3,5,0,0,3
5,8,3500.0,frontal,3,5,0,0,3
6,8,3500.0,frontal,3,5,0,0,3
7,8,3500.0,frontal,3,5,0,0,3
8,8,3500.0,frontal,3,5,0,0,3
9,8,3500.0,frontal,3,5,0,0,3
10,8,3500.0,frontal,0,8,0,0,0
1,10,3500.0,frontal,4,6,0,0,4
2,10,3500.0,frontal,5,5,0,0,5
3,10,3500.0,frontal,4,6,0,0,4
4,10,3500.0,frontal,4,6,0,0,4
5,10,3500.0,frontal,5,5,0,0,5
6,10,3500.0,frontal,5,5,0,0,5
7,10,3500.0,frontal,5,5,0,0,5
8,10,3500.0,frontal,5,5,0,0,5
9,10,3500.0,frontal,5,5,0,0,5
10,10,3500.0,frontal,5,5,0,0,5
1,15,3500.0,frontal,9,6,0,0,9
2,15,3500.0,frontal,10,5,0,0,10
3,15,3500.0,frontal,9,6,0,0,9
4,15,3500.0,frontal,10,5,0,0,10
5,15,3500.0,frontal,9,6,0,0,9
6,15,3500.0,frontal,10,5,0,0,10
7,15,3500.0,frontal,10,5,0,0,10
8,15,3500.0,frontal,9,6,0,0,9
9,15,3500.0,frontal,10,5,0,0,10
10,15,3500.0,frontal,10,5,0,0,10
1,1,5000.0,frontal,0,1,0,0,0
2,1,5000.0,frontal,0,1,0,0,0
3,1,5000.0,frontal,0,1,0,0,0
4,1,5000.0,frontal,0,1,0,0,0
5,1,5000.0,frontal,0,1,0,0,0
6,1,5000.0,frontal,0,1,0,0,0
7,1,5000.0,frontal,0,1,0,0,0
8,1,5000.0,frontal,0,1,0,0,0
9,1,5000.0,frontal,0,1,0,0,0
10,1,5000.0,frontal,0,1,0,0,0
1,2,5000.0,frontal,0,2,0,0,0
2,2,5000.0,frontal,0,2,0,0,0
3,2,5000.0,frontal,0,2,0,0,0
4,2,5000.0,frontal,0,2,0,0,0
5,2,5000.0,frontal,0,2,0,0,0
6,2,5000.0,frontal,0,2,0,0,0
7,2,5000.0,frontal,0,2,0,0,0
8,2,5000.0,frontal,0,2,0,0,0
9,2,5000.0,frontal,0,2,0,0,0
10,2,5000.0,frontal,0,2,0,0,0
1,3,5000.0,frontal,0,3,0,0,0
2,3,5000.0,frontal,0,3,0,0,0
3,3,5000.0,frontal,0,3,0,0,0
4,3,5000.0,frontal,0,3,0,0,0
5,3,5000.0,frontal,0,3,0,0,0
6,3,5000.0,frontal,0,3,0,0,0
7,3,5000.0,frontal,0,3,0,0,0
8,3,5000.0,frontal,0,3,0,0,0
9,3,5000.0,frontal,0,3,0,0,0
10,3,5000.0,frontal,0,3,0,0,0
1,4,5000.0,frontal,0,4,0,0,0
2,4,5000.0,frontal,0,4,0,0,0
3,4,5000.0,frontal,0,4,0,0,0
4,4,5000.0,frontal,0,4,0,0,0
5,4,5000.0,frontal,0,4,0,0,0
6,4,5000.0,frontal,0,4,0,0,0
7,4,5000.0,frontal,0,4,0,0,0
8,4,5000.0,frontal,0,4,0,0,0
9,4,5000.0,frontal,0,4,0,0,0
10,4,5000.0,frontal,0,4,0,0,0
1,5,5000.0,frontal,0,5,0,0,0
2,5,5000.0,frontal,0,5,0,0,0
3,5,5000.0,frontal,0,5,0,0,0
4,5,5000.0,frontal,0,5,0,0,0
5,5,5000.0,frontal,0,5,0,0,0
6,5,5000.0,frontal,0,5,0,0,0
