run_id,refresh,bins,engagement_range,volley,hits,destroyed,timeouts
2,0.1,180,3500,6,5,1,0
3,0.1,180,3500,6,6,0,0
4,0.1,180,3500,6,5,1,0
5,0.1,180,3500,6,5,1,0
6,0.1,180,3500,6,6,0,0
7,0.1,180,3500,6,6,0,0
8,0.1,180,3500,6,5,1,0
9,0.1,180,3500,6,5,1,0
10,0.1,180,3500,6,6,0,0
1,0.1,180,7000,6,6,0,0
2,0.1,180,7000,6,6,0,0
3,0.1,180,7000,6,6,0,0
4,0.1,180,7000,6,6,0,0
5,0.1,180,7000,6,5,1,0
6,0.1,180,7000,6,6,0,0
7,0.1,180,7000,6,5,1,0
8,0.1,180,7000,6,5,1,0
9,0.1,180,7000,6,6,0,0
10,0.1,180,7000,6,5,1,0
1,0.25,36000,3500,6,0,6,0
2,0.25,36000,3500,6,3,3,0
3,0.25,36000,3500,6,0,6,0
4,0.25,36000,3500,6,1,5,0
5,0.25,36000,3500,6,3,3,0
6,0.25,36000,3500,6,3,3,0
7,0.25,36000,3500,6,3,3,0
8,0.25,36000,3500,6,2,4,0
9,0.25,36000,3500,6,1,5,0
10,0.25,36000,3500,6,0,6,0
1,0.25,36000,7000,6,4,2,0
2,0.25,36000,7000,6,4,2,0
3,0.25,36000,7000,6,6,0,0
4,0.25,36000,7000,6,5,1,0
5,0.25,36000,7000,6,5,1,0
6,0.25,36000,7000,6,6,0,0
7,0.25,36000,7000,6,5,1,0
8,0.25,36000,7000,6,5,1,0
9,0.25,36000,7000,6,5,1,0
10,0.25,36000,7000,6,6,0,0
1,0.25,3600,3500,6,0,6,0
2,0.25,3600,3500,6,1,5,0
3,0.25,3600,3500,6,0,6,0
4,0.25,3600,3500,6,2,4,0
5,0.25,3600,3500,6,3,3,0
6,0.25,3600,3500,6,4,2,0
7,0.25,3600,3500,6,2,4,0
8,0.25,3600,3500,6,0,6,0
9,0.25,3600,3500,6,3,3,0
10,0.25,3600,3500,6,3,3,0
1,0.25,3600,7000,6,6,0,0
2,0.25,3600,7000,6,6,0,0
3,0.25,3600,7000,6,4,2,0
4,0.25,3600,7000,6,5,1,0
5,0.25,3600,7000,6,5,1,0
6,0.25,3600,7000,6,6,0,0
7,0.25,3600,7000,6,4,2,0
8,0.25,3600,7000,6,5,1,0
9,0.25,3600,7000,6,6,0,0
10,0.25,3600,7000,6,5,1,0
1,0.25,720,3500,6,2,4,0
2,0.25,720,3500,6,5,1,0
3,0.25,720,3500,6,4,2,0
4,0.25,720,3500,6,3,3,0
5,0.25,720,3500,6,4,2,0
6,0.25,720,3500,6,5,1,0
7,0.25,720,3500,6,5,1,0
8,0.25,720,3500,6,5,1,0
9,0.25,720,3500,6,6,0,0
10,0.25,720,3500,6,6,0,0
1,0.25,720,7000,6,6,0,0
2,0.25,720,7000,6,5,1,0
3,0.25,720,7000,6,5,1,0
4,0.25,720,7000,6,5,1,0
5,0.25,720,7000,6,5,1,0
6,0.25,720,7000,6,6,0,0
7,0.25,720,7000,6,6,0,0
8,0.25,720,7000,6,6,0,0
9,0.25,720,7000,6,5,1,0
10,0.25,720,7000,6,5,1,0
1,0.25,180,3500,6,3,3,0
2,0.25,180,3500,6,6,0,0
3,0.25,180,3500,6,6,0,0
4,0.25,180,3500,6,3,3,0
5,0.25,180,3500,6,6,0,0
6,0.25,180,3500,6,4,2,0
7,0.25,180,3500,6,6,0,0
8,0.25,180,3500,6,6,0,0
9,0.25,180,3500,6,6,0,0
10,0.25,180,3500,6,5,1,0
1,0.25,180,7000,6,5,1,0
2,0.25,180,7000,6,6,0,0
3,0.25,180,7000,6,5,1,0
4,0.25,180,7000,6,6,0,0
5,0.25,180,7000,6,6,0,0
6,0.25,180,7000,6,6,0,0
7,0.25,180,7000,6,6,0,0
8,0.25,180,7000,6,0,6,0
9,0.25,180,7000,6,6,0,0
10,0.25,180,7000,6,6,0,0
1,0.5,36000,3500,6,2,4,0
2,0.5,36000,3500,6,5,1,0
3,0.5,36000,3500,6,4,2,0
4,0.5,36000,3500,6,5,1,0
5,0.5,36000,3500,6,5,1,0
6,0.5,36000,3500,6,5,1,0
7,0.5,36000,3500,6,3,3,0
8,0.5,36000,3500,6,5,1,0
9,0.5,36000,3500,6,5,1,0
10,0.5,36000,3500,6,4,2,0
1,0.5,36000,7000,6,6,0,0
2,0.5,36000,7000,6,6,0,0
3,0.5,36000,7000,6,5,1,0
4,0.5,36000,7000,6,6,0,0
5,0.5,36000,7000,6,6,0,0
6,0.5,36000,7000,6,6,0,0
7,0.5,36000,7000,6,6,0,0
8,0.5,36000,7000,6,5,1,0
9,0.5,36000,7000,6,6,0,0
10,0.5,36000,7000,6,6,0,0
1,0.5,3600,3500,6,4,2,0
2,0.5,3600,3500,6,4,2,0
3,0.5,3600,3500,6,4,2,0
4,0.5,3600,3500,6,5,1,0
5,0.5,3600,3500,6,4,2,0
6,0.5,3600,3500,6,4,2,0
7,0.5,3600,3500,6,4,2,0
8,0.5,3600,3500,6,4,2,0
9,0.5,3600,3500,6,4,2,0
10,0.5,3600,3500,6,4,2,0
1,0.5,3600,7000,6,6,0,0
2,0.5,3600,7000,6,6,0,0
3,0.5,3600,7000,6,5,1,0
4,0.5,3600,7000,6,6,0,0
5,0.5,3600,7000,6,6,0,0
6,0.5,3600,7000,6,6,0,0
7,0.5,3600,7000,6,6,0,0
8,0.5,3600,7000,6,6,0,0
9,0.5,3600,7000,6,6,0,0
10,0.5,3600,7000,6,6,0,0
1,0.5,720,3500,6,6,0,0
2,0.5,720,3500,6,4,2,0
3,0.5,720,3500,6,5,1,0
4,0.5,720,3500,6,6,0,0
5,0.5,720,3500,6,6,0,0
6,0.5,720,3500,6,6,0,0
7,0.5,720,3500,6,6,0,0
8,0.5,720,3500,6,4,2,0
9,0.5,720,3500,6,3,3,0
10,0.5,720,3500,6,6,0,0
1,0.5,720,7000,6,6,0,0
2,0.5,720,7000,6,5,1,0
3,0.5,720,7000,6,5,1,0
4,0.5,720,7000,6,6,0,0
5,0.5,720,7000,6,3,3,0
6,0.5,720,7000,6,4,2,0
7,0.5,720,7000,6,6,0,0
8,0.5,720,7000,6,6,0,0
9,0.5,720,7000,6,6,0,0
10,0.5,720,7000,6,6,0,0
1,0.5,180,3500,6,6,0,0
2,0.5,180,3500,6,6,0,0
3,0.5,180,3500,6,6,0,0
4,0.5,180,3500,6,6,0,0
5,0.5,180,3500,6,6,0,0
6,0.5,180,3500,6,6,0,0
7,0.5,180,3500,6,5,1,0
8,0.5,180,3500,6,6,0,0
9,0.5,180,3500,6,6,0,0
10,0.5,180,3500,6,5,1,0
1,0.5,180,7000,6,6,0,0
2,0.5,180,7000,6,5,1,0
3,0.5,180,7000,6,6,0,0
4,0.5,180,7000,6,6,0,0
5,0.5,180,7000,6,5,1,0
6,0.5,180,7000,6,6,0,0
7,0.5,180,7000,6,5,1,0
8,0.5,180,7000,6,6,0,0
9,0.5,180,7000,6,6,0,0
10,0.5,180,7000,6,6,0,0
