strategy,sim_minutes,haulers,takes,losses,returned_empty,resolved,takes_per_hour,take_rate,loss_rate,final_cap,backoff
CROSSROADS,25,8,0,0,0,0,0.00,0.000,0.000,3,1.00
CROSSROADS,25,8,0,0,0,0,0.00,0.000,0.000,3,1.00
